president,approval,timestamp
Trump,42.6729,21 Oct 2018
Trump,41.20804,21 Oct 2019
Trump,42.428566,21 Oct 2020
Biden,43.6782,21 Oct 2021
Trump,39.45935,21 Sep 2017
Trump,40.48059,21 Sep 2018
Trump,42.17831,21 Sep 2019
Trump,42.57555,21 Sep 2020
Biden,46.508264,21 Sep 2021
Trump,41.88213,22 Apr 2017
Trump,41.439994999999996,22 Apr 2019
Trump,43.583277,22 Apr 2020
Biden,53.266932,22 Apr 2021
Trump,36.81282,22 Aug 2017
Trump,42.12536,22 Aug 2018
Trump,41.457,22 Aug 2019
Trump,41.864666,22 Aug 2020
Biden,49.376494,22 Aug 2021
Trump,37.14611,22 Dec 2017
Trump,42.16323,22 Dec 2018
Trump,43.013804,22 Dec 2020
Biden,43.393962,22 Dec 2021
Trump,40.57474,22 Feb 2018
Trump,42.69892,22 Feb 2019
Biden,54.54597933333333,22 Feb 2021
Trump,38.66162,22 Jan 2018
Trump,40.16071,22 Jan 2019
Trump,41.909656,22 Jan 2020
Trump,38.41841,22 Jul 2017
Trump,41.9939,22 Jul 2018
Trump,42.97346,22 Jul 2019
Trump,40.277373,22 Jul 2020
Biden,52.309477,22 Jul 2021
Trump,38.74978,22 Jun 2017
Trump,42.37092,22 Jun 2018
Trump,42.60138,22 Jun 2019
Trump,41.223995,22 Jun 2020
Biden,51.763069,22 Jun 2021
Trump,42.34076,22 Mar 2017
Trump,40.63551,22 Mar 2018
Trump,41.88325,22 Mar 2019
Biden,54.57279533333334,22 Mar 2021
Trump,38.78198,22 May 2017
Trump,42.2518,22 May 2018
Trump,41.14558,22 May 2019
Trump,42.929668,22 May 2020
Trump,38.41062,22 Nov 2017
Trump,41.891828,22 Nov 2019
Biden,42.762737,22 Nov 2021
Trump,37.85255,22 Oct 2017
Trump,43.10784,22 Oct 2018
Trump,41.25791,22 Oct 2019
Trump,42.529558,22 Oct 2020
Biden,43.367714,22 Oct 2021
Trump,39.49464,22 Sep 2017
Trump,40.61161,22 Sep 2018
